"File exported from UTC Confirmations Portal on December 10, 2020, 12:06 EST"

Supplier Code:,0000164499
Supplier Name:,TRIPLE INC
User Email:,pkarchner@tripleinc.com
* Date Format: MM/DD/YYYY,"List Separator: Comma (,)"

** INSTRUCTIONS:,"Please only edit Columns M-O below row 12. All columns must be present and do not duplicate or delete columns. Any rows other than 11 and 12 may be  removed. Additional columns will be ignored as long as they don't duplicate a required column header. Naming of the column header row cannot be modified. The ordering of columns is flexible. When importing your file back into the Confirmations screen, please make sure all cells have a value matching the exported format. Date format must be MM/DD/YYYY."
** REASON CODES:,Capacity Issue,Import/ Export Control,Input Material (Vendor Supplied),Machine Down Time,Producibility Technical,Quality,Supplier Other,Natural Disaster,Commercial Issues  (Ex: PO terms/pricing),UTC Supplied Input Material,UTC Receiving/ Shipping,UTC Schedule under lead time / change,UTC Transportation / Logistics,UTC Engineering,UTC Other

PRIORITY,PRODUCT_ID,OPEN_QTY,ORDER_TYPE,ORDER_ID,ITEM_ID,SCH_LINE,REVISION_LVL,LOCATION,REQ_DATE,OTD_DATE,COMMIT_STAT,COMMIT_DATE,REASON_CODE,COMMENTS,CONTRACT_DPAS,CHANGE_DESCRIPTION,LAST_SUPPLIER_UPDATE
,806834-1,1,ZPO,0011509110,50,1,E,2710,04/04/2021,04/04/2021,COMMITTED,04/04/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,60,1,E,2710,05/10/2021,05/10/2021,COMMITTED,05/10/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,70,1,E,2710,01/05/2022,01/05/2022,COMMITTED,01/05/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,80,1,E,2710,07/22/2021,07/22/2021,COMMITTED,07/22/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,806834-1,1,ZPO,0011509110,90,1,E,2710,11/11/2021,11/11/2021,COMMITTED,11/11/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,20,1,-,2702,01/07/2021,01/07/2021,COMMITTED,01/07/2021,UTC Schedule under lead time / change,,NOT DISCLOSED|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,30,1,-,2702,01/28/2021,01/28/2021,COMMITTED,01/28/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|4.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,40,1,-,2702,03/03/2021,03/03/2021,COMMITTED,03/03/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|4.0||,Commit date has been provided. Thank you!,2020-12-08
,826595-4,1,ZPO,0011514927,180,1,-,2702,07/06/2021,07/06/2021,COMMITTED,07/06/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,8,ZPO,0011514927,240,1,-,2702,07/06/2021,07/06/2021,COMMITTED,07/06/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|7.0||N/A|UN-RAT|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
,826595-4,8,ZPO,0011514927,230,1,-,2702,07/06/2021,07/06/2021,COMMITTED,07/06/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,826595-4,4,ZPO,0011514927,220,1,-,2702,07/06/2021,07/06/2021,COMMITTED,07/06/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,210,1,-,2702,06/30/2021,06/30/2021,COMMITTED,06/30/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
,826595-4,4,ZPO,0011514927,200,1,-,2702,06/25/2021,06/25/2021,COMMITTED,06/25/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,50,1,-,2702,03/18/2021,03/18/2021,COMMITTED,03/18/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,60,1,-,2702,03/24/2021,03/24/2021,COMMITTED,03/24/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
,826595-4,4,ZPO,0011514927,190,1,-,2702,06/25/2021,06/25/2021,COMMITTED,06/25/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,8,ZPO,0011514927,160,1,-,2702,07/22/2021,07/22/2021,COMMITTED,07/22/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|8.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,1,ZPO,0011514927,150,1,-,2702,07/22/2021,07/22/2021,COMMITTED,07/22/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,70,1,-,2702,03/31/2021,03/31/2021,COMMITTED,03/31/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|1.0||N/A|UN-RAT|N|3.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,80,1,-,2702,04/22/2021,04/22/2021,COMMITTED,04/22/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,90,1,-,2702,04/29/2021,04/29/2021,COMMITTED,04/29/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,100,1,-,2702,05/26/2021,05/26/2021,COMMITTED,05/26/2021,UTC Schedule under lead time / change,,N/A|UN-RAT|N|4.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,110,1,-,2702,06/03/2021,06/03/2021,COMMITTED,06/03/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|2.0||N/A|UN-RAT|N|2.0||,Commit date has been provided. Thank you!,2020-12-08
,826595-4,2,ZPO,0011514927,170,1,-,2702,06/25/2021,06/25/2021,COMMITTED,06/25/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,120,1,-,2702,06/03/2021,06/03/2021,COMMITTED,06/03/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|2.0||N/A|UN-RAT|N|2.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,4,ZPO,0011514927,130,1,-,2702,06/23/2021,06/23/2021,COMMITTED,06/23/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|2.0||N/A|UN-RAT|N|2.0||,Commit date has been provided. Thank you!,2020-12-08
,826595-4,8,ZPO,0011514927,140,1,-,2702,06/25/2021,06/25/2021,COMMITTED,06/25/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,2,ZPO,0011299682,10,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,5,ZPO,0011299682,20,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,4,ZPO,0011299682,30,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,6,ZPO,0011299682,40,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,5,ZPO,0011299682,120,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,1,ZPO,0011299682,150,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,5,ZPO,0011299682,210,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819693-5,6,ZPO,0011299682,220,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,1,ZPO,0011299695,580,1,-,2702,02/25/2021,02/25/2021,COMMITTED,02/25/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,2,ZPO,0011299695,570,1,-,2702,02/25/2021,02/25/2021,COMMITTED,02/25/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|2.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,3,ZPO,0011299695,520,1,-,2702,01/05/2021,01/05/2021,COMMITTED,01/05/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|2.0||NOT DISCLOSED|UN-RAT|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,1,ZPO,0011299695,530,1,-,2702,01/21/2021,01/21/2021,COMMITTED,01/21/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,1,ZPO,0011299695,540,1,-,2702,01/21/2021,01/21/2021,COMMITTED,01/21/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|1.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,2,ZPO,0011299695,550,1,-,2702,01/28/2021,01/28/2021,COMMITTED,01/28/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|2.0||,Commit date has been provided. Thank you!,2020-12-08
DPAS,826595-4,1,ZPO,0011299695,560,1,-,2702,02/25/2021,02/25/2021,COMMITTED,02/25/2021,UTC Schedule under lead time / change,,COMMERCIAL||N|1.0||,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,100,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,110,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,120,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,90,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,80,1,E,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,70,1,E,2701,03/23/2023,03/23/2023,COMMITTED,03/23/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,60,1,E,2701,02/24/2023,02/24/2023,COMMITTED,02/24/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,50,1,E,2701,12/22/2022,12/22/2022,COMMITTED,12/22/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,40,1,E,2701,02/28/2022,02/28/2022,COMMITTED,02/28/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,30,1,E,2701,10/26/2022,10/26/2022,COMMITTED,10/26/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819752-1,1,ZPO,0011298767,20,1,E,2701,02/04/2022,02/04/2022,COMMITTED,02/04/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-7,130,ZPO,0011085886,10,1,-,2719,04/01/2021,04/01/2021,COMMITTED,04/01/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-8,110,ZPO,0011085900,50,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-8,125,ZPO,0011085900,40,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-5,132,ZPO,0011085868,70,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-5,150,ZPO,0011085868,60,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-5,150,ZPO,0011085868,50,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-5,148,ZPO,0011085868,40,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-5,24,ZPO,0011085868,30,1,-,2719,03/01/2022,03/01/2022,COMMITTED,03/01/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-5,31,ZPO,0011085868,10,1,-,2719,01/04/2022,01/04/2022,COMMITTED,01/04/2022,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,819652-3,2,ZRWK,0009741504,20,1,A,2701,03/01/2021,03/01/2021,COMMITTED,03/01/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,784793-4,1,ZPO,0010653191,20,1,J,2702,07/21/2021,07/21/2021,COMMITTED,07/21/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,1022362-3,1,ZRWK,0009738550,20,1,-,2719,02/04/2021,02/04/2021,COMMITTED,02/04/2021,Quality,PARTS SHIPPED IN ALREADY,N00019-18-C-1021|DO-A1|N|1.0||,Commit date has been provided. Thank you!,2020-12-08
,744235-2,3,ZPO,0011123214,110,1,E,2700,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,744235-2,3,ZPO,0011123214,100,1,E,2700,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,744235-2,3,ZPO,0011123214,90,1,E,2700,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,744235-2,3,ZPO,0011123214,80,1,E,2700,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,744235-2,3,ZPO,0011123214,70,1,E,2700,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,744235-2,4,ZPO,0011123214,50,1,E,2700,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,120,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,110,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,100,1,-,2719,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,90,1,-,2719,10/28/2021,10/28/2021,COMMITTED,10/28/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,80,1,-,2719,08/30/2021,08/30/2021,COMMITTED,08/30/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,70,1,-,2719,06/29/2021,06/29/2021,COMMITTED,06/29/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,60,1,-,2719,04/29/2021,04/29/2021,COMMITTED,04/29/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1007048-2,40,ZPO,0011313597,50,1,-,2719,02/25/2021,02/25/2021,COMMITTED,02/25/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
DPAS,811399-1,2,ZPO,0011313616,20,1,E,2701,01/20/2021,01/20/2021,COMMITTED,01/20/2021,UTC Schedule under lead time / change,,TBD|UN-RAT|N|2.0||,Commit date has been provided. Thank you!,2020-12-08
,811128-2,4,ZPO,0011531968,20,1,A,2710,02/08/2021,02/08/2021,COMMITTED,02/08/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,811128-2,4,ZPO,0011531968,30,1,A,2710,02/23/2021,02/23/2021,COMMITTED,02/23/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,811128-2,4,ZPO,0011531968,10,1,A,2710,11/24/2021,11/24/2021,COMMITTED,11/24/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,811128-2,4,ZPO,0011531968,40,1,A,2710,08/19/2021,08/19/2021,COMMITTED,08/19/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,811128-2,4,ZPO,0011531968,50,1,A,2710,04/30/2021,04/30/2021,COMMITTED,04/30/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1024283-1,1,ZRWK,0009741506,20,1,-,2701,01/11/2021,01/11/2021,COMMITTED,01/11/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,3,ZPO,0011278477,250,1,C,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,5,ZPO,0011278477,240,1,C,2701,08/22/2024,08/22/2024,COMMITTED,08/22/2024,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,4,ZPO,0011278477,230,1,C,2701,12/31/2023,12/31/2023,COMMITTED,12/31/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,4,ZPO,0011278477,220,1,C,2701,06/27/2024,06/27/2024,COMMITTED,06/27/2024,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,10,ZPO,0011278477,210,1,C,2701,10/24/2024,10/24/2024,COMMITTED,10/24/2024,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,14,ZPO,0011278477,200,1,C,2701,12/28/2023,12/28/2023,COMMITTED,12/28/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,817176-8,7,ZPO,0011278477,190,1,C,2701,09/28/2023,09/28/2023,COMMITTED,09/28/2023,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,13,ZLTA,H117214A,1150,6598,F,2701,10/22/2021,10/22/2021,COMMITTED,10/22/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,6,ZLTA,H117214A,1150,6597,F,2701,11/17/2021,11/17/2021,COMMITTED,11/17/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,6,ZLTA,H117214A,1150,6592,F,2701,11/09/2021,11/09/2021,COMMITTED,11/09/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,13,ZLTA,H117214A,1150,6591,F,2701,10/07/2021,10/07/2021,COMMITTED,10/07/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,14,ZLTA,H117214A,1150,6590,F,2701,09/10/2021,09/10/2021,COMMITTED,09/10/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,12,ZLTA,H117214A,1150,6589,F,2701,08/13/2021,08/13/2021,COMMITTED,08/13/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,15,ZLTA,H117214A,1150,6588,F,2701,07/23/2021,07/23/2021,COMMITTED,07/23/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,11,ZLTA,H117214A,1150,6587,F,2701,07/09/2021,07/09/2021,COMMITTED,07/09/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,21,ZLTA,H117214A,1150,6586,F,2701,06/17/2021,06/17/2021,COMMITTED,06/17/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,6,ZLTA,H117214A,1150,6585,F,2701,06/11/2021,06/11/2021,COMMITTED,06/11/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,14,ZLTA,H117214A,1150,6584,F,2701,06/04/2021,06/04/2021,COMMITTED,06/04/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,14,ZLTA,H117214A,1150,6583,F,2701,05/20/2021,05/20/2021,COMMITTED,05/20/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,22,ZLTA,H117214A,1150,6582,F,2701,04/23/2021,04/23/2021,COMMITTED,04/23/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,17,ZLTA,H117214A,1150,6581,F,2701,04/16/2021,04/16/2021,COMMITTED,04/16/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,18,ZLTA,H117214A,1150,6580,F,2701,04/02/2021,04/02/2021,COMMITTED,04/02/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,17,ZLTA,H117214A,1150,6579,F,2701,03/18/2021,03/18/2021,COMMITTED,03/18/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,18,ZLTA,H117214A,1150,6578,F,2701,02/19/2021,02/19/2021,COMMITTED,02/19/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,18,ZLTA,H117214A,1150,6577,F,2701,02/05/2021,02/05/2021,COMMITTED,02/05/2021,,,,Commit date has been provided. Thank you!,2020-12-08
,1003205-1,15,ZLTA,H117214A,1150,6574,F,2701,02/05/2021,02/05/2021,CHANGED,02/05/2021,,,,Please provide a commit date.  The quantity has changed from 13 to 15.,2020-12-08
AT RISK,1003205-1,11,ZLTA,H117214A,1150,6573,F,2701,01/22/2021,01/22/2021,UNCOMMITTED,01/22/2021,,,,Please provide a commit date.,
,1027043-1,4,ZLTA,H117214A,1370,2916,-,2701,05/20/2021,05/20/2021,COMMITTED,05/20/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,5,ZLTA,H117214A,1370,2915,-,2701,06/11/2021,06/11/2021,COMMITTED,06/11/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,1,ZLTA,H117214A,1370,2914,-,2701,07/09/2021,07/09/2021,COMMITTED,07/09/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,8,ZLTA,H117214A,1370,2913,-,2701,05/11/2021,05/11/2021,COMMITTED,05/11/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,1,ZLTA,H117214A,1370,2874,-,2701,03/25/2021,03/25/2021,COMMITTED,03/25/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,1,ZLTA,H117214A,1370,2871,-,2701,04/02/2021,04/02/2021,COMMITTED,04/02/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,5,ZLTA,H117214A,1370,2868,-,2701,04/02/2021,04/02/2021,COMMITTED,04/02/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
,1027043-1,3,ZLTA,H117214A,1370,2867,-,2701,04/16/2021,04/16/2021,COMMITTED,04/16/2021,UTC Schedule under lead time / change,,,Commit date has been provided. Thank you!,2020-12-08
